method,count_before,count_after,min,mean,std,confidence_interval
gettick_ms,30,30,125.0,136.56666666666666,8.987707654841076,3.2162098789079643
qpc_ms,30,30,129.7253,133.23723333333334,2.0795686264757447,0.7441640757791896
rdtsc_ticks,30,29,378235261.0,389002795.17241377,9766154.103234764,3554517.406223189
